comment_id,video_id,channel_name,sentimiento,prob_neg,prob_neu,prob_pos
Ugx8FxDKPAY-M_JhRgd4AaABAg,n8iP75gIpmw,Quorum,NEG,0.805343508720398,0.1806632727384567,0.0139932166785001
Ugx8vuWdqsWZslsS9R14AaABAg,WIUZtitfLRw,Quorum,NEU,0.1732599288225174,0.4971191883087158,0.3296209275722503
Ugx90cmhNaRBNDou1BR4AaABAg,OkXlHx0hx-8,Noticias Telemundo,NEG,0.5452280044555664,0.4138330519199371,0.040938951075077
Ugx90cmhNaRBNDou1BR4AaABAg.AaA5Ej9IqgQAaBaWPRQg7K,OkXlHx0hx-8,Noticias Telemundo,NEG,0.9383435249328612,0.0429104678332805,0.0187460295855999
Ugx90cmhNaRBNDou1BR4AaABAg.AaA5Ej9IqgQAaCnVqXU5cy,OkXlHx0hx-8,Noticias Telemundo,NEU,0.3543148934841156,0.4728859364986419,0.1727991253137588
Ugx90cmhNaRBNDou1BR4AaABAg.AaA5Ej9IqgQAaCz3GqqPAJ,OkXlHx0hx-8,Noticias Telemundo,NEU,0.0366988331079483,0.6458730101585388,0.3174281716346741
UgxCKgaQSm13r2z9hFd4AaABAg,j43HgwYFKfk,Quorum,NEG,0.9671465158462524,0.0307127758860588,0.0021407455205917
UgxCT5F3jO763e2aO-t4AaABAg,OkXlHx0hx-8,Noticias Telemundo,NEG,0.4778704047203064,0.4705600142478943,0.0515695475041866
UgxCjFHfuFk1jUGvoIB4AaABAg,lj983NWyAQY,Municipalidad de Guatemala,POS,0.0043375641107559,0.0501400120556354,0.9455224275588988
UgxD16VX3BhREOtsuhJ4AaABAg,yLZS3JiEBg8,Quorum,NEG,0.9496656060218812,0.0435986816883087,0.0067357555963099
UgxDBhcq11EK83DqrSZ4AaABAg,j43HgwYFKfk,Quorum,POS,0.0137922037392854,0.1841685026884079,0.8020393252372742
UgxDFo35bUo0APtZcd94AaABAg,lj983NWyAQY,Municipalidad de Guatemala,NEG,0.803084671497345,0.1756084561347961,0.0213069468736648
UgxEE17R1iQyuDZebVF4AaABAg,06mFNPU0aB8,Noti7,NEU,0.1227513402700424,0.8171632885932922,0.0600852631032466
UgxEE17R1iQyuDZebVF4AaABAg.A_UFk_pMAbMA_VZ_0Vdu89,06mFNPU0aB8,Noti7,NEU,0.1958656460046768,0.7157944440841675,0.0883398279547691
UgxE_8DGgJmaHaV_WLJ4AaABAg,n8iP75gIpmw,Quorum,NEG,0.8431577682495117,0.146713525056839,0.0101287057623267
UgxEsAK7q3l34wFdZ414AaABAg,6W4u8sGEnGM,Gobierno de la República de Guatemala,NEG,0.9653481245040894,0.0296144820749759,0.0050373310223221
UgxEsAK7q3l34wFdZ414AaABAg.A_zCnf5bSajA_zKDdWQaaO,6W4u8sGEnGM,Gobierno de la República de Guatemala,NEG,0.9545396566390992,0.039479374885559,0.0059809945523738
UgxEsAK7q3l34wFdZ414AaABAg.A_zCnf5bSajA_zMcZPgoSk,6W4u8sGEnGM,Gobierno de la República de Guatemala,NEU,0.034235943108797,0.5122796297073364,0.4534844160079956
UgxEsAK7q3l34wFdZ414AaABAg.A_zCnf5bSajA_zX0eQk5DZ,6W4u8sGEnGM,Gobierno de la República de Guatemala,NEG,0.9607275724411012,0.0259716250002384,0.0133008006960153
UgxEsAK7q3l34wFdZ414AaABAg.A_zCnf5bSajA_zXHoAX3hj,6W4u8sGEnGM,Gobierno de la República de Guatemala,NEG,0.9771748185157776,0.0186335016041994,0.0041916645132005
